assessmentmodel,n
xsa,534
sam,167
vpa,129
ica,74
landings trends,55
tsa,51
gadget,45
ss3,42
laurec-shepherd,36
sms-effort,28
adhoc vpa,27
separable vpa,27
asap,26
survey trend(s),24
aap,23
sxsa,22
sms,18
aspic,17
sad,17
capelin model,16
nft-adapt,13
surba,13
cpue data,12
adcam,10
amish,10
flica,10
a4a,9
amci,9
catch-at-age,9
two-stage bbm,9
b-adapt,8
rho method,8
tasacs,8
not assessed,7
bormicon,6
csa,6
iterative fs,6
xsam,6
cbbm,5
mycc,5
seastar,4
adapt,3
adapt bayesian,3
bbm,3
bspm,3
shepherd-hybrid,3
cpue trends,2
scaa,2
shot,2
ssam,2
gamma approach,1
landings only,1
