"","stock","assessyear","purpose","fpa","fmsy","blim","msybtrig","ssb_stf","tacyear","fadv","advlandings"
"1","her-3a22",2008,"advice",NA,NA,NA,"NA",123000,2009,0.25,32800
"2","her-3a22",2009,"advice",NA,NA,NA,"NA",142000,2010,0.25,39800
"3","her-3a22",2010,"advice",0.25,NA,NA,"110000",76200,2011,0.38,53600
"4","her-3a22",2011,"advice",0.25,NA,NA,"110000",97000,2012,0.25,42700
"5","her-3a22",2012,"advice",0.25,NA,NA,"110000",132000,2013,0.25,51900
"6","her-3a22",2013,"advice",NA,0.28,90000,"110000",106000,2014,0.3,41602
"7","her-3a22",2014,"advice",NA,0.28,90000,"110000",123000,2015,0.28,44439
"8","her-3a22",2015,"advice",NA,0.32,90000,"110000",130000,2016,0.32,52547
"9","her-3a22",2016,"advice",NA,0.32,90000,"110000",143000,2017,0.32,56802
"10","her-3a22",2017,"advice",0.45,0.32,90000,"110000",101000,2018,0.295,34618
"11","her-3a22",2018,"advice",0.35,0.31,120000,"150000",104000,2019,0,0
"12","her-47d3",2008,"advice",0.25,NA,8e+05,"NA",978000,2009,0.16,180000
"13","her-47d3",2009,"advice",0.25,NA,8e+05,"NA",971000,2010,0.15,164000
"14","her-47d3",2010,"advice",0.25,0.25,8e+05,"1300000",1317000,2011,0.12,190000
"15","her-47d3",2011,"advice",0.25,0.25,8e+05,"1300000",1714000,2012,0.12,230000
"16","her-47d3",2012,"advice",0.25,0.25,8e+05,"1300000",2271000,2013,0.22,466000
"17","her-47d3",2013,"advice",NA,0.27,8e+05,"NA",1996000,2014,0.25,470000
"18","her-47d3",2014,"advice",NA,0.27,8e+05,"NA",1903000,2015,0.25,430000
"19","her-47d3",2015,"advice",NA,0.27,8e+05,"NA",2194000,2016,0.23,518242
"20","her-47d3",2016,"advice",NA,0.33,8e+05,"1500000",2008000,2017,0.27,426000
"21","her-47d3",2017,"advice",0.34,0.33,8e+05,"1500000",2034000,2018,0.26,491355
"22","her-47d3",2018,"advice",0.3,0.26,8e+05,"1400000",1404000,2019,0.22,291040
"23","her-noss",2008,"advice",0.15,NA,2500000,"NA",12600000,2009,0.125,1643000
"24","her-noss",2009,"advice",0.15,NA,2500000,"NA",12200000,2010,0.125,1483000
"25","her-noss",2010,"advice",0.15,0.15,2500000,"5000000",7990000,2011,0.125,1170000
"26","her-noss",2011,"advice",0.15,0.15,2500000,"5000000",6900000,2012,0.125,833000
"27","her-noss",2012,"advice",0.15,0.15,2500000,"5000000",5080000,2013,0.125,619000
"28","her-noss",2013,"advice",0.15,0.15,2500000,"5000000",4123000,2014,0.1,418000
"29","her-noss",2014,"advice",0.15,0.15,2500000,"5000000",3502000,2015,0.08,283000
"30","her-noss",2015,"advice",0.15,0.15,2500000,"5000000",3586000,2016,0.083,317000
"31","her-noss",2016,"advice",0.15,0.15,2500000,"5000000",4974000,2017,0.124,646075
"32","her-noss",2017,"replaced",0.15,0.15,2500000,"5000000",4364000,2018,0.106,546472
"33","her-noss",2017,"advice",0.15,0.15,2500000,"5000000",3691000,2018,0.086,384197
"34","her-noss",2018,"advice",0.227,0.157,2500000,"3184000",3859000,2019,0.14,588562
"35","hom-west",2008,"advice",NA,NA,1400000,"NA",NA,2009,NA,180000
"36","hom-west",2009,"advice",NA,NA,1400000,"NA",NA,2010,NA,180000
"37","hom-west",2010,"advice",NA,0.13,NA,"NA",1910000,2011,0.13,229000
"38","hom-west",2011,"advice",NA,0.13,NA,"NA",1880000,2012,0.13,211000
"39","hom-west",2012,"advice",NA,0.13,NA,"NA",1660000,2013,0.13,126000
"40","hom-west",2013,"advice",NA,0.13,NA,"NA",836000,2014,0.13,110546
"41","hom-west",2014,"advice",NA,0.13,NA,"635000",635000,2015,0.12,99304
"42","hom-west",2015,"advice",NA,0.13,NA,"635000",675000,2016,0.13,126000
"43","hom-west",2016,"advice",NA,0.13,NA,"635000",512000,2017,0.11,69186
"44","hom-west",2017,"advice",0.108,0.108,661900,"911600",818000,2018,0.097,117070
"45","hom-west",2018,"advice",0.108,0.108,661900,"911600",941821,2019,0.108,145237
"46","mac-nea",2008,"advice",0.23,NA,1670000,"NA",2845000,2009,0.2,578000
"47","mac-nea",2009,"advice",0.23,NA,1670000,"NA",2591000,2010,0.22,572000
"48","mac-nea",2010,"advice",0.23,0.22,1670000,"2200000",2930000,2011,0.22,672000
"49","mac-nea",2011,"advice",0.23,0.22,1670000,"2200000",2908000,2012,0.22,639000
"50","mac-nea",2012,"advice",0.23,0.22,1670000,"2200000",2677000,2013,0.22,542000
"51","mac-nea",2013,"replaced",NA,NA,NA,"NA",NA,2014,NA,889886
"52","mac-nea",2013,"advice",0.26,0.25,1840000,"2360000",4408000,2014,0.22,1011000
"53","mac-nea",2014,"advice",0.26,0.25,1840000,"2360000",4605000,2015,0.22,906000
"54","mac-nea",2015,"replaced",0.25,0.22,1840000,"3000000",3620000,2016,0.22,667385
"55","mac-nea",2015,"advice",0.25,0.22,1840000,"3000000",3131000,2016,0.22,773840
"56","mac-nea",2016,"replaced",0.25,0.22,1840000,"3000000",4957000,2017,0.22,944302
"57","mac-nea",2016,"advice",0.25,0.22,1840000,"3000000",4958000,2017,0.22,857000
"58","mac-nea",2017,"advice",0.35,0.21,1940000,"2570000",3444000,2018,0.21,550948
"59","mac-nea",2018,"advice",0.35,0.21,1940000,"2570000",2354000,2019,0.17,318403
"60","whb-comb",2008,"advice",0.32,0.18,1500000,"NA",2424000,2009,0.16,384000
"61","whb-comb",2009,"advice",0.32,NA,1500000,"NA",3586000,2010,0.18,540000
"62","whb-comb",2010,"advice",0.32,0.18,1500000,"2250000",796000,2011,0.32,223000
"63","whb-comb",2011,"advice",0.32,0.18,1500000,"2250000",2422000,2012,0.18,391000
"64","whb-comb",2012,"advice",NA,0.18,1500000,"2250000",5130000,2013,0.18,643000
"65","whb-comb",2013,"advice",0.32,0.3,1500000,"2250000",6715000,2014,0.18,948950
"66","whb-comb",2014,"advice",0.32,0.3,1500000,"2250000",5738000,2015,0.18,839886
"67","whb-comb",2015,"advice",0.32,0.3,1500000,"2250000",3618000,2016,0.3,776000
"68","whb-comb",2016,"advice",0.58,0.32,1500000,"2250000",6766000,2017,0.32,1342330
"69","whb-comb",2017,"advice",0.58,0.32,1500000,"2250000",5907000,2018,0.32,1387872
"70","whb-comb",2018,"advice",0.58,0.32,1500000,"2250000",4327000,2019,0.32,1143629
